Employee_ID,Job_Title,Performance_Score,Work_Hours_Per_Week,Projects_Handled,Employee_Satisfaction_Score,Team_Size,Training_Hours,Promotions,Resigned,technical_skills,skill_proficiency,preferred_role,collaboration_score,personality_type,communication_style,work_habits,teamwork_style,leadership_score,project_interests,availability,Department,Gender,Age,Hire_Date,Years_At_Company,Education_Level,Monthly_Salary,Overtime_Hours,Sick_Days,Remote_Work_Frequency,past_projects,time_zone
1,Specialist,5,33,32,2.63,14,66,0,False,"JavaScript, Node.js",9,Web Dev,3,ESTJ,Discord,Agile,3,5,"FinTech, UX",23,IT,Male,55,2022-01-19 08:03:05.556036,2,High School,6750.0,22,2,0,E-Commerce,GMT+-1
2,Developer,5,34,34,1.72,12,61,2,False,"C++, Robotics",10,Data Scientist,10,ISFJ,Teams,Hybrid,5,9,"AI, Bioinformatics",26,Finance,Male,29,2024-04-18 08:03:05.556036,0,High School,7500.0,13,14,100,Finance Apps,GMT+0
3,Specialist,3,37,27,3.17,10,1,0,False,"Python, TensorFlow",6,Web Dev,3,INTJ,Zoom,Office,6,3,"AI, Hardware",11,Finance,Male,55,2015-10-26 08:03:05.556036,8,High School,5850.0,6,3,50,Finance Apps,GMT+6
4,Analyst,2,52,10,1.86,10,0,1,False,"Python, NLP",10,DevOps Engineer,4,INFJ,Discord,Office,9,5,"FinTech, AI",49,Customer Support,Female,48,2016-10-22 08:03:05.556036,7,Bachelor,4800.0,28,12,100,Cloud Security,GMT+0 
5,Analyst,2,38,11,1.25,15,9,1,False,"SQL, PostgreSQL",4,Blockchain Dev,10,ENTJ,Teams,Agile,2,8,"SaaS, Web3",46,Engineering,Female,36,2021-07-23 08:03:05.556036,3,Bachelor,4800.0,29,13,100,Web Apps,GMT+1
6,Manager,3,46,31,2.77,15,95,0,False,"Python, R",8,Database Admin,3,INTJ,Zoom,Agile,10,10,"Design, HCI",29,IT,Male,43,2016-08-14 08:03:05.556036,8,High School,7800.0,8,0,100,Indie Games,GMT+-12
7,Technician,5,55,20,4.46,16,27,0,False,"PHP, Laravel",10,Database Admin,4,ISTP,Slack,Hybrid,10,6,"FinTech, AI",27,IT,Male,37,2023-08-28 08:03:05.556036,1,Bachelor,5250.0,29,2,0,Finance Apps,GMT+0
8,Engineer,2,42,46,2.09,7,64,0,False,"C#, Unity",7,Embedded Dev,9,ISFP,Discord,Office,5,8,Cloud Computing,40,Engineering,Female,55,2014-10-27 08:03:05.556036,9,Bachelor,7200.0,7,8,100,Web Apps,GMT+0
9,Technician,2,51,23,1.44,1,0,1,False,"Rust, Blockchain",1,Blockchain Dev,6,ISFJ,Discord,Hybrid,8,6,HealthTech,23,Marketing,Female,55,2023-06-29 08:03:05.556036,1,High School,4200.0,21,14,0,"IoT, Robotics",GMT+2
10,Consultant,1,41,33,2.93,4,53,2,False,"Python, NLP",6,Database Admin,1,ENTJ,Discord,Office,10,4,"NLP, AI Ethics",38,Engineering,Female,45,2016-12-23 08:03:05.556036,7,Bachelor,6050.0,2,6,75,DeFi,GMT+-12
11,Engineer,3,38,1,2.34,4,90,1,False,"UI/UX, Figma",5,DevOps Engineer,5,ESTP,Slack,Remote,8,10,"FinTech, UX",14,Customer Support,Male,52,2019-11-26 08:03:05.556036,4,Bachelor,7800.0,5,0,25,NLP Research,GMT+-5
12,Technician,5,39,13,1.96,5,88,0,False,"Java, Spring",8,Data Scientist,3,INTJ,Zoom,Office,1,6,"AI, Ethics",37,Customer Support,Male,27,2015-02-19 08:03:05.556036,9,Bachelor,5250.0,2,13,25,CMS Systems,GMT+-1
13,Technician,4,31,11,2.13,7,17,2,False,"React, TypeScript",5,ML Engineer,2,ISTP,Zoom,Hybrid,6,4,"NLP, AI Ethics",50,HR,Male,51,2019-07-04 08:03:05.556036,5,Bachelor,4900.0,16,1,75,AI Research,GMT+-11
14,Analyst,4,33,30,1.46,4,26,1,False,"C++, Robotics",2,Web Dev,8,INTP,Teams,Office,8,4,HealthTech,35,Engineering,Male,27,2014-10-14 08:03:05.556036,9,Bachelor,5600.0,5,13,25,CMS Systems,GMT+5
15,Analyst,1,33,49,2.22,13,37,1,False,"Python, R",1,Web Dev,1,ISTJ,Teams,Remote,8,4,"NLP, AI Ethics",28,Finance,Male,46,2023-03-11 08:03:05.556036,1,Master,4400.0,13,1,100,Marketplace,GMT+-5
16,Developer,2,33,41,2.42,3,46,1,False,"Python, NLP",5,Mobile Dev,6,ISTJ,Email,Hybrid,2,8,E-commerce,44,Customer Support,Male,26,2023-04-19 08:03:05.556036,1,High School,6000.0,9,13,50,DeFi,GMT+10
